1694['138000', 'QD', '22.06.1985', '  10.9000']
1701['138000', 'QD', '29.06.1985', '  10.4000']
1708['138000', 'QD', '06.07.1985', '   6.3000']
1715['138000', 'QD', '13.07.1985', '   5.9000']
1722['138000', 'QD', '20.07.1985', '   5.0000']
1729['138000', 'QD', '27.07.1985', '   5.0000']
1736['138000', 'QD', '03.08.1985', '   5.9000']
1743['138000', 'QD', '10.08.1985', '   7.0000']
1750['138000', 'QD', '17.08.1985', '  18.1000']
1757['138000', 'QD', '24.08.1985', '   7.3200']
1764['138000', 'QD', '31.08.1985', '   8.1500']
1771['138000', 'QD', '07.09.1985', '   9.2500']
1778['138000', 'QD', '14.09.1985', '   7.3200']
1785['138000', 'QD', '21.09.1985', '   6.3000']
1792['138000', 'QD', '28.09.1985', '   5.0000']
1799['138000', 'QD', '05.10.1985', '   5.0000']
1806['138000', 'QD', '12.10.1985', '   4.7000']
1813['138000', 'QD', '19.10.1985', '   5.0000']
1820['138000', 'QD', '26.10.1985', '   4.7000']
1827['138000', 'QD', '02.11.1985', '   4.8200']
1834['138000', 'QD', '09.11.1985', '   7.6200']
1841['138000', 'QD', '16.11.1985', '   4.7700']
1848['138000', 'QD', '23.11.1985', '   5.0000']
1855['138000', 'QD', '30.11.1985', '   4.1000']
1862['138000', 'QD', '07.12.1985', '  10.7000']
1869['138000', 'QD', '14.12.1985', '   6.3400']
1876['138000', 'QD', '21.12.1985', '   9.3500']
1883['138000', 'QD', '28.12.1985', '   7.6700']
1890['138000', 'QD', '04.01.1986', '   6.1000']
1897['138000', 'QD', '11.01.1986', '   5.8000']
1904['138000', 'QD', '18.01.1986', '   7.8000']
1911['138000', 'QD', '25.01.1986', '  21.5000']
1918['138000', 'QD', '01.02.1986', '   9.6200']
1925['138000', 'QD', '08.02.1986', '   7.7600']
1932['138000', 'QD', '15.02.1986', '   6.4000']
1939['138000', 'QD', '22.02.1986', '   6.1000']
1946['138000', 'QD', '01.03.1986', '   5.2000']
1953['138000', 'QD', '08.03.1986', '   6.4000']
1960['138000', 'QD', '15.03.1986', '   6.4000']
1967['138000', 'QD', '22.03.1986', '   6.7400']
1974['138000', 'QD', '29.03.1986', '  23.1000']
1981['138000', 'QD', '05.04.1986', '  18.5000']
1988['138000', 'QD', '12.04.1986', '  18.5000']
1995['138000', 'QD', '19.04.1986', '  21.1000']
2002['138000', 'QD', '26.04.1986', '  39.2000']
2009['138000', 'QD', '03.05.1986', '  38.3000']
2016['138000', 'QD', '10.05.1986', '  24.5000']
2023['138000', 'QD', '17.05.1986', '  22.5000']
2030['138000', 'QD', '24.05.1986', '  16.0000']
2037['138000', 'QD', '31.05.1986', '  47.8000']
2044['138000', 'QD', '07.06.1986', '  20.4000']
2051['138000', 'QD', '14.06.1986', '  28.8000']
2058['138000', 'QD', '21.06.1986', '  23.8000']
2065['138000', 'QD', '28.06.1986', '  11.4000']
2072['138000', 'QD', '05.07.1986', '   8.4800']
2079['138000', 'QD', '12.07.1986', '  10.5000']
2086['138000', 'QD', '19.07.1986', '   8.4800']
2093['138000', 'QD', '26.07.1986', '   8.4800']
2100['138000', 'QD', '02.08.1986', '   6.1000']
2107['138000', 'QD', '09.08.1986', '   4.9000']
2114['138000', 'QD', '16.08.1986', '   6.1000']
2121['138000', 'QD', '23.08.1986', '   6.4000']
2128['138000', 'QD', '30.08.1986', '   8.1000']
2135['138000', 'QD', '06.09.1986', '   6.1000']
2142['138000', 'QD', '13.09.1986', '   4.9000']
2149['138000', 'QD', '20.09.1986', '   5.5000']
2156['138000', 'QD', '27.09.1986', '   4.4200']
2163['138000', 'QD', '04.10.1986', '   3.9400']
2170['138000', 'QD', '11.10.1986', '   4.4200']
2177['138000', 'QD', '18.10.1986', '   4.4200']
2184['138000', 'QD', '25.10.1986', '  13.8000']
2191['138000', 'QD', '01.11.1986', '   8.8600']
2198['138000', 'QD', '08.11.1986', '   8.8600']
2205['138000', 'QD', '15.11.1986', '   6.1000']
2212['138000', 'QD', '22.11.1986', '   6.4000']
2219['138000', 'QD', '29.11.1986', '   5.8000']
2226['138000', 'QD', '06.12.1986', '   5.5000']
2233['138000', 'QD', '13.12.1986', '   4.6600']
2240['138000', 'QD', '20.12.1986', '  10.0000']
2247['138000', 'QD', '27.12.1986', '   5.2000']
2254['138000', 'QD', '03.01.1987', '  33.4000']
2261['138000', 'QD', '10.01.1987', '  10.5000']
2268['138000', 'QD', '17.01.1987', '   6.4000']
2275['138000', 'QD', '24.01.1987', '   6.4000']
2282['138000', 'QD', '31.01.1987', '   5.2000']
2289['138000', 'QD', '07.02.1987', '   5.8000']
2296['138000', 'QD', '14.02.1987', '  14.8000']
2303['138000', 'QD', '21.02.1987', '  10.0000']
2310['138000', 'QD', '28.02.1987', '  12.3000']
2317['138000', 'QD', '07.03.1987', '   9.6200']
2324['138000', 'QD', '14.03.1987', '   6.7400']
2331['138000', 'QD', '21.03.1987', '   6.1000']
2338['138000', 'QD', '28.03.1987', '  38.3000']
2345['138000', 'QD', '04.04.1987', '  14.8000']
2352['138000', 'QD', '11.04.1987', '  39.2000']
2359['138000', 'QD', '18.04.1987', '  26.6000']
2366['138000', 'QD', '25.04.1987', '  25.9000']
2373['138000', 'QD', '02.05.1987', '  34.2000']
2380['138000', 'QD', '09.05.1987', '  28.0000']
2387['138000', 'QD', '16.05.1987', '  21.1000']
2394['138000', 'QD', '23.05.1987', '  29.5000']
2401['138000', 'QD', '30.05.1987', '  22.5000']
2408['138000', 'QD', '06.06.1987', '  31.0000']
2415['138000', 'QD', '13.06.1987', '  15.4000']
2422['138000', 'QD', '20.06.1987', '  14.8000']
2429['138000', 'QD', '27.06.1987', '  13.8000']
2436['138000', 'QD', '04.07.1987', '  13.8000']
2443['138000', 'QD', '11.07.1987', '   8.8600']
2450['138000', 'QD', '18.07.1987', '   7.4200']
2457['138000', 'QD', '25.07.1987', '   8.4800']
2464['138000', 'QD', '01.08.1987', '   9.2400']
2471['138000', 'QD', '08.08.1987', '  10.0000']
2478['138000', 'QD', '15.08.1987', '   8.1000']
2485['138000', 'QD', '22.08.1987', '   7.4200']
2492['138000', 'QD', '29.08.1987', '   6.4000']
2499['138000', 'QD', '05.09.1987', '  10.9000']
2506['138000', 'QD', '12.09.1987', '   6.4000']
2513['138000', 'QD', '19.09.1987', '   5.2000']
2520['138000', 'QD', '26.09.1987', '   6.7400']
2527['138000', 'QD', '03.10.1987', '   5.5000']
2534['138000', 'QD', '10.10.1987', '   4.9000']
2541['138000', 'QD', '17.10.1987', '   5.2000']
2548['138000', 'QD', '24.10.1987', '   4.4200']
2555['138000', 'QD', '31.10.1987', '   4.4200']
2562['138000', 'QD', '07.11.1987', '   4.6600']
2569['138000', 'QD', '14.11.1987', '  16.0000']
2576['138000', 'QD', '21.11.1987', '  10.5000']
2583['138000', 'QD', '28.11.1987', '   6.4000']
2590['138000', 'QD', '05.12.1987', '   4.6600']
2597['138000', 'QD', '12.12.1987', '   3.9400']
2604['138000', 'QD', '19.12.1987', ' 104.0000']
2611['138000', 'QD', '26.12.1987', '  11.4000']
2618['138000', 'QD', '02.01.1988', '   9.6200']
2625['138000', 'QD', '09.01.1988', '   9.6200']
2632['138000', 'QD', '16.01.1988', '   8.1000']
2639['138000', 'QD', '23.01.1988', '   7.4200']
2646['138000', 'QD', '30.01.1988', '   8.4800']
2653['138000', 'QD', '06.02.1988', '   9.2400']
2660['138000', 'QD', '13.02.1988', '   9.2400']
2667['138000', 'QD', '20.02.1988', '   8.1000']
2674['138000', 'QD', '27.02.1988', '   6.7400']
2681['138000', 'QD', '05.03.1988', '   6.1000']
2688['138000', 'QD', '12.03.1988', '   6.1000']
2695['138000', 'QD', '19.03.1988', '  16.0000']
2702['138000', 'QD', '26.03.1988', '  40.9000']
2709['138000', 'QD', '02.04.1988', '  21.1000']
2716['138000', 'QD', '09.04.1988', '  55.7000']
2723['138000', 'QD', '16.04.1988', '  24.5000']
2730['138000', 'QD', '23.04.1988', '  42.6000']
2737['138000', 'QD', '30.04.1988', '  30.3000']
2744['138000', 'QD', '07.05.1988', '  37.5000']
2751['138000', 'QD', '14.05.1988', '  35.8000']
2758['138000', 'QD', '21.05.1988', '  28.0000']
2765['138000', 'QD', '28.05.1988', '  16.0000']
2772['138000', 'QD', '04.06.1988', '  12.3000']
2779['138000', 'QD', '11.06.1988', '  12.8000']
2786['138000', 'QD', '18.06.1988', '   8.8600']
